台番号,角,角2,角3,円卓,奇数,偶数
1032,1,0,0,0,0,1
1033,0,1,0,0,1,0
1034,0,0,1,0,0,1
1035,0,0,0,0,1,0
1036,0,0,0,0,0,1
1037,0,0,0,0,1,0
1038,0,0,0,0,0,1
1039,0,0,1,0,1,0
1040,0,1,0,0,0,1
1041,1,0,0,0,1,0
